year,bucket,n_top20,n_21_100,mean_polshare_top20,mean_polshare_21_100,gap_polshare,mean_polkw_top20,mean_polkw_21_100,gap_polkw,mean_totalkw_top20,mean_totalkw_21_100
1997,action,10,9,0.16433164663714947,0.1558922558922559,0.008439390744893582,3.5,1.2222222222222223,2.2777777777777777,19.6,9.222222222222221
1997,non_action,10,30,0.022727272727272728,0.08283204593174608,-0.06010477320447335,0.3,0.9333333333333333,-0.6333333333333333,15.8,11.0
1998,action,7,7,0.14837781266352693,0.16439909297052152,-0.016021280306994595,2.4285714285714284,1.8571428571428572,0.5714285714285712,17.428571428571427,12.285714285714286
1998,non_action,12,40,0.04551282051282052,0.055490573737856354,-0.009977753225035836,0.9166666666666666,0.65,0.2666666666666666,10.25,9.375
1999,action,5,10,0.08766233766233766,0.1409495962127541,-0.05328725855041644,0.8,1.5,-0.7,13.4,15.2
1999,non_action,15,70,0.06680741147370735,0.0483090279780318,0.01849838349567555,1.6,0.5,1.1,17.933333333333334,10.371428571428572
2000,action,8,15,0.08851010101010101,0.04131868131868132,0.04719141969141969,1.375,0.4,0.975,16.5,9.4
2000,non_action,12,63,0.09467893217893218,0.0744310671691624,0.020247865009769786,1.0,0.7142857142857143,0.2857142857142857,11.0,11.015873015873016
2001,action,9,20,0.04737925059562486,0.18529026529026527,-0.1379110146946404,0.7777777777777778,1.75,-0.9722222222222222,14.222222222222221,10.6
2001,non_action,10,58,0.05555914673561733,0.05123654280139243,0.0043226039342249,0.8,0.5,0.30000000000000004,15.3,10.879310344827585
2002,action,7,19,0.12997121925693356,0.1721483968387993,-0.04217717758186573,2.4285714285714284,2.263157894736842,0.16541353383458635,18.142857142857142,14.263157894736842
2002,non_action,13,58,0.06682206682206682,0.06783205083473487,-0.0010099840126680526,0.7692307692307693,0.7586206896551724,0.010610079575596898,12.923076923076923,11.758620689655173
2003,action,11,25,0.0603137284171767,0.12623443223443223,-0.06592070381725554,1.5454545454545454,1.28,0.2654545454545454,20.90909090909091,12.96
2003,non_action,8,53,0.039141414141414144,0.05970932207151423,-0.020567907930100084,0.875,0.6226415094339622,0.25235849056603776,15.375,11.264150943396226
2004,action,9,26,0.03678913678913679,0.09894398571022611,-0.06215484892108932,1.1111111111111112,1.1153846153846154,-0.004273504273504258,22.0,12.807692307692308
2004,non_action,10,50,0.06357466063348416,0.05085529549815264,0.01271936513533152,0.7,0.54,0.15999999999999992,13.2,11.6
2005,action,6,17,0.07209231518694435,0.07210191769015299,-9.602503208638868e-06,1.0,1.2941176470588236,-0.2941176470588236,14.666666666666666,15.176470588235293
2005,non_action,14,61,0.050062635776921494,0.04568454985560248,0.004378085921319011,0.8571428571428571,0.6229508196721312,0.23419203747072592,12.785714285714286,12.524590163934427
2006,action,5,14,0.04779220779220779,0.13462991257108906,-0.08683770477888127,0.8,1.5714285714285714,-0.7714285714285714,15.4,13.857142857142858
2006,non_action,14,65,0.05767537784344507,0.03321764329044708,0.02445773455299799,1.0714285714285714,0.4461538461538462,0.6252747252747253,13.928571428571429,11.246153846153845
2007,action,7,16,0.06201369436663555,0.09718899521531099,-0.03517530084867544,1.4285714285714286,1.375,0.0535714285714286,20.0,11.875
2007,non_action,13,52,0.04699531237992776,0.03405176671729975,0.012943545662628009,0.8461538461538461,0.46153846153846156,0.3846153846153846,16.23076923076923,11.26923076923077
2008,action,10,22,0.07016357206012377,0.11105837121879904,-0.04089479915867526,1.2,1.2727272727272727,-0.07272727272727275,15.4,10.636363636363637
2008,non_action,10,57,0.029000531632110582,0.06903373936126095,-0.040033207729150366,0.4,0.8421052631578947,-0.44210526315789467,14.5,11.368421052631579
2009,action,10,17,0.08107142857142857,0.0815592903828198,-0.0004878618113912242,1.1,1.0588235294117647,0.04117647058823537,13.9,9.647058823529411
2009,non_action,10,61,0.02205128205128205,0.04419799763767859,-0.022146715586396543,0.3,0.5081967213114754,-0.20819672131147543,10.3,10.114754098360656
2010,action,8,26,0.04467418546365915,0.12744549003033165,-0.0827713045666725,0.625,1.3461538461538463,-0.7211538461538463,12.5,10.846153846153847
2010,non_action,12,51,0.021117424242424243,0.04178503718503718,-0.020667612942612934,0.3333333333333333,0.35294117647058826,-0.019607843137254943,12.25,9.137254901960784
2011,action,8,25,0.16472763347763347,0.06859356725146198,0.09613406622617149,2.75,0.72,2.0300000000000002,15.625,11.72
2011,non_action,12,53,0.03762210012210012,0.03605681125405126,0.00156528886804886,0.3333333333333333,0.4528301886792453,-0.11949685534591198,10.333333333333334,11.962264150943396
2012,action,8,26,0.15303884711779447,0.09155131938327443,0.06148752773452004,2.0,1.1923076923076923,0.8076923076923077,15.75,12.153846153846153
2012,non_action,12,50,0.0372737556561086,0.03011652236652236,0.007157233289586236,0.75,0.46,0.29,16.75,11.7
2013,action,10,30,0.08836038961038961,0.09575794575794577,-0.007397556147556161,1.4,0.9333333333333333,0.46666666666666656,12.6,8.833333333333334
2013,non_action,10,48,0.03611111111111111,0.031034355715206782,0.0050767553959043255,0.4,0.3958333333333333,0.004166666666666707,13.1,9.9375
2014,action,14,21,0.09036796536796536,0.15177340481851762,-0.061405439450552254,0.6428571428571429,2.2857142857142856,-1.6428571428571428,12.571428571428571,14.904761904761905
2014,non_action,6,58,0.0604789886039886,0.041128080326720315,0.019350908277268285,1.0,0.4827586206896552,0.5172413793103448,16.333333333333332,9.03448275862069
2015,action,8,25,0.0808531746031746,0.11244983544297046,-0.03159666083979587,0.625,1.44,-0.815,9.625,12.68
