year,keyword,score_logodds,count_top,count_rest,p_top,p_rest,delta
1970,world_war_ii,1.3978709289488878,4,4,0.021505376344086023,0.005390835579514825,0.016114540764571198
1970,based_on_novel_or_book,0.7485805222612645,5,10,0.026881720430107527,0.013477088948787063,0.013404631481320465
1970,france,0.2842887878928009,2,7,0.010752688172043012,0.009433962264150943,0.0013187259078920686
1970,paris,0.2829539312558351,1,4,0.005376344086021506,0.005390835579514825,-1.4491493493319282e-05
1970,surrealism,0.08092822203622507,1,5,0.005376344086021506,0.006738544474393531,-0.0013622003883720256
1970,torture,-1.1914713606427227,0,6,0.0,0.008086253369272238,-0.008086253369272238
1970,revenge,-1.1914713606427227,0,6,0.0,0.008086253369272238,-0.008086253369272238
1970,vampire,-1.1914713606427227,0,6,0.0,0.008086253369272238,-0.008086253369272238
1970,murder,-1.6764903359160712,0,10,0.0,0.013477088948787063,-0.013477088948787063
1971,police,1.6752480797766216,3,2,0.011857707509881422,0.0020898641588296763,0.009767843351051745
1971,california,1.6752480797766216,3,2,0.011857707509881422,0.0020898641588296763,0.009767843351051745
1971,exploitation,0.9972724170047957,2,3,0.007905138339920948,0.003134796238244514,0.004770342101676434
1971,psychopath,0.9972724170047957,2,3,0.007905138339920948,0.003134796238244514,0.004770342101676434
1971,dystopia,0.9972724170047957,2,3,0.007905138339920948,0.003134796238244514,0.004770342101676434
1971,serial_killer,0.5431897570967923,2,5,0.007905138339920948,0.00522466039707419,0.002680477942846758
1971,world_war_ii,0.23011588765694935,1,4,0.003952569169960474,0.0041797283176593526,-0.00022715914769887852
1971,castle,0.028395874155180856,1,5,0.003952569169960474,0.00522466039707419,-0.0012720912271137162
1971,england,-0.28386099922103103,1,7,0.003952569169960474,0.0073145245559038665,-0.0033619553859433925
1971,based_on_novel_or_book,-0.39682756157268884,3,19,0.011857707509881422,0.019853709508881923,-0.007996001999000501
1971,whodunit,-0.4100767738511806,1,8,0.003952569169960474,0.008359456635318705,-0.004406887465358231
1971,murder,-1.1417353727956336,1,17,0.003952569169960474,0.017763845350052248,-0.013811276180091774
1971,vampire,-1.3864258622049643,0,7,0.0,0.0073145245559038665,-0.0073145245559038665
1971,giallo,-1.3864258622049643,0,7,0.0,0.0073145245559038665,-0.0073145245559038665
1971,revenge,-1.6249210128226093,0,9,0.0,0.009404388714733543,-0.009404388714733543
1971,rape,-1.6249210128226093,0,9,0.0,0.009404388714733543,-0.009404388714733543
1972,based_on_novel_or_book,1.0072588640974809,5,7,0.0205761316872428,0.007803790412486065,0.012772341274756734
1972,italy,0.9729231932349336,2,3,0.00823045267489712,0.0033444816053511705,0.00488597106954595
1972,loss_of_loved_one,0.9729231932349336,2,3,0.00823045267489712,0.0033444816053511705,0.00488597106954595
1972,husband_wife_relationship,0.2055323355538352,1,4,0.00411522633744856,0.004459308807134894,-0.000344082469686334
1972,martial_arts,0.2055323355538352,1,4,0.00411522633744856,0.004459308807134894,-0.000344082469686334
1972,california,0.2055323355538352,1,4,0.00411522633744856,0.004459308807134894,-0.000344082469686334
1972,police,-0.16443334186776948,1,6,0.00411522633744856,0.006688963210702341,-0.002573736873253781
1972,murder,-0.3882459130630167,2,13,0.00823045267489712,0.014492753623188406,-0.006262300948291286
1972,japan,-1.098985701667221,0,5,0.0,0.005574136008918618,-0.005574136008918618
1972,assassin,-1.098985701667221,0,5,0.0,0.005574136008918618,-0.005574136008918618
1972,whodunit,-1.2671608626809858,0,6,0.0,0.006688963210702341,-0.006688963210702341
1972,based_on_play_or_musical,-1.411384040895138,0,7,0.0,0.007803790412486065,-0.007803790412486065
1972,sequel,-1.537670779472971,0,8,0.0,0.008918617614269788,-0.008918617614269788
1973,new_york_city,0.7911085029473837,2,3,0.00796812749003984,0.0038809831824062097,0.004087144307633631
