year,keyword,count_all,N,pol_total,rate_all,share_within_political,count_hit,rate_hit,N_all,N_hit,N_rest,count_rest,rate_rest,gap_rate,ratio_rate
1970,us_army,1,41,63,0.024390243902439025,0.015873015873015872,1.0,0.1111111111111111,41,9,32,0.0,0.0,0.1111111111111111,
1970,us_military,1,41,63,0.024390243902439025,0.015873015873015872,0.0,0.0,41,9,32,1.0,0.03125,-0.03125,0.0
1970,usa_president,1,41,63,0.024390243902439025,0.015873015873015872,0.0,0.0,41,9,32,1.0,0.03125,-0.03125,0.0
1970,vietnam_veteran,1,41,63,0.024390243902439025,0.015873015873015872,0.0,0.0,41,9,32,1.0,0.03125,-0.03125,0.0
1970,washington_state,1,41,63,0.024390243902439025,0.015873015873015872,1.0,0.1111111111111111,41,9,32,0.0,0.0,0.1111111111111111,
1970,witch_trial,2,41,63,0.04878048780487805,0.031746031746031744,0.0,0.0,41,9,32,2.0,0.0625,-0.0625,0.0
1970,world_war_i,2,41,63,0.04878048780487805,0.031746031746031744,0.0,0.0,41,9,32,2.0,0.0625,-0.0625,0.0
1970,world_war_ii,8,41,63,0.1951219512195122,0.12698412698412698,4.0,0.4444444444444444,41,9,32,4.0,0.125,0.3194444444444444,3.5555555555555554
1971,american_civil_war,1,46,71,0.021739130434782608,0.014084507042253521,0.0,0.0,46,13,33,1.0,0.030303030303030304,-0.030303030303030304,0.0
1971,anti_war,1,46,71,0.021739130434782608,0.014084507042253521,0.0,0.0,46,13,33,1.0,0.030303030303030304,-0.030303030303030304,0.0
1971,bank_robber,3,46,71,0.06521739130434782,0.04225352112676056,0.0,0.0,46,13,33,3.0,0.09090909090909091,-0.09090909090909091,0.0
1971,bank_robbery,1,46,71,0.021739130434782608,0.014084507042253521,0.0,0.0,46,13,33,1.0,0.030303030303030304,-0.030303030303030304,0.0
1971,birthday_party,1,46,71,0.021739130434782608,0.014084507042253521,0.0,0.0,46,13,33,1.0,0.030303030303030304,-0.030303030303030304,0.0
1971,black_panther_party,1,46,71,0.021739130434782608,0.014084507042253521,1.0,0.07692307692307693,46,13,33,0.0,0.0,0.07692307692307693,
1971,bureaucracy,1,46,71,0.021739130434782608,0.014084507042253521,0.0,0.0,46,13,33,1.0,0.030303030303030304,-0.030303030303030304,0.0
1971,communism,1,46,71,0.021739130434782608,0.014084507042253521,0.0,0.0,46,13,33,1.0,0.030303030303030304,-0.030303030303030304,0.0
1971,corrupt_cop,1,46,71,0.021739130434782608,0.014084507042253521,1.0,0.07692307692307693,46,13,33,0.0,0.0,0.07692307692307693,
1971,corruption,1,46,71,0.021739130434782608,0.014084507042253521,0.0,0.0,46,13,33,1.0,0.030303030303030304,-0.030303030303030304,0.0
1971,depression,1,46,71,0.021739130434782608,0.014084507042253521,0.0,0.0,46,13,33,1.0,0.030303030303030304,-0.030303030303030304,0.0
1971,factory_worker,2,46,71,0.043478260869565216,0.028169014084507043,0.0,0.0,46,13,33,2.0,0.06060606060606061,-0.06060606060606061,0.0
1971,farm_worker,1,46,71,0.021739130434782608,0.014084507042253521,0.0,0.0,46,13,33,1.0,0.030303030303030304,-0.030303030303030304,0.0
1971,french_revolution,1,46,71,0.021739130434782608,0.014084507042253521,0.0,0.0,46,13,33,1.0,0.030303030303030304,-0.030303030303030304,0.0
1971,home_invasion,2,46,71,0.043478260869565216,0.028169014084507043,1.0,0.07692307692307693,46,13,33,1.0,0.030303030303030304,0.046620046620046623,2.5384615384615383
1971,immigrant,1,46,71,0.021739130434782608,0.014084507042253521,0.0,0.0,46,13,33,1.0,0.030303030303030304,-0.030303030303030304,0.0
1971,insane_asylum,1,46,71,0.021739130434782608,0.014084507042253521,0.0,0.0,46,13,33,1.0,0.030303030303030304,-0.030303030303030304,0.0
1971,italian_immigrant,1,46,71,0.021739130434782608,0.014084507042253521,0.0,0.0,46,13,33,1.0,0.030303030303030304,-0.030303030303030304,0.0
1971,legal_drama,1,46,71,0.021739130434782608,0.014084507042253521,0.0,0.0,46,13,33,1.0,0.030303030303030304,-0.030303030303030304,0.0
1971,military,1,46,71,0.021739130434782608,0.014084507042253521,0.0,0.0,46,13,33,1.0,0.030303030303030304,-0.030303030303030304,0.0
1971,military_service,1,46,71,0.021739130434782608,0.014084507042253521,0.0,0.0,46,13,33,1.0,0.030303030303030304,-0.030303030303030304,0.0
1971,mock_trial,1,46,71,0.021739130434782608,0.014084507042253521,0.0,0.0,46,13,33,1.0,0.030303030303030304,-0.030303030303030304,0.0
1971,nazi_occupation,1,46,71,0.021739130434782608,0.014084507042253521,0.0,0.0,46,13,33,1.0,0.030303030303030304,-0.030303030303030304,0.0
1971,nuclear_threat,1,46,71,0.021739130434782608,0.014084507042253521,1.0,0.07692307692307693,46,13,33,0.0,0.0,0.07692307692307693,
1971,one_man_army,1,46,71,0.021739130434782608,0.014084507042253521,0.0,0.0,46,13,33,1.0,0.030303030303030304,-0.030303030303030304,0.0
1971,police,5,46,71,0.10869565217391304,0.07042253521126761,3.0,0.23076923076923078,46,13,33,2.0,0.06060606060606061,0.17016317016317017,3.807692307692308
1971,police_brutality,3,46,71,0.06521739130434782,0.04225352112676056,2.0,0.15384615384615385,46,13,33,1.0,0.030303030303030304,0.12354312354312355,5.076923076923077
1971,political_activism,1,46,71,0.021739130434782608,0.014084507042253521,1.0,0.07692307692307693,46,13,33,0.0,0.0,0.07692307692307693,
1971,political_assassination,1,46,71,0.021739130434782608,0.014084507042253521,0.0,0.0,46,13,33,1.0,0.030303030303030304,-0.030303030303030304,0.0
1971,political_persecution,1,46,71,0.021739130434782608,0.014084507042253521,0.0,0.0,46,13,33,1.0,0.030303030303030304,-0.030303030303030304,0.0
1971,political_repression,1,46,71,0.021739130434782608,0.014084507042253521,0.0,0.0,46,13,33,1.0,0.030303030303030304,-0.030303030303030304,0.0
1971,prison,3,46,71,0.06521739130434782,0.04225352112676056,0.0,0.0,46,13,33,3.0,0.09090909090909091,-0.09090909090909091,0.0
1971,racism,1,46,71,0.021739130434782608,0.014084507042253521,1.0,0.07692307692307693,46,13,33,0.0,0.0,0.07692307692307693,
1971,release_from_prison,1,46,71,0.021739130434782608,0.014084507042253521,0.0,0.0,46,13,33,1.0,0.030303030303030304,-0.030303030303030304,0.0
1971,revolution,2,46,71,0.043478260869565216,0.028169014084507043,1.0,0.07692307692307693,46,13,33,1.0,0.030303030303030304,0.046620046620046623,2.5384615384615383
1971,russian_revolution_(1917),1,46,71,0.021739130434782608,0.014084507042253521,0.0,0.0,46,13,33,1.0,0.030303030303030304,-0.030303030303030304,0.0
1971,russian_soldier,1,46,71,0.021739130434782608,0.014084507042253521,1.0,0.07692307692307693,46,13,33,0.0,0.0,0.07692307692307693,
1971,social_worker,1,46,71,0.021739130434782608,0.014084507042253521,1.0,0.07692307692307693,46,13,33,0.0,0.0,0.07692307692307693,
1971,soldier,1,46,71,0.021739130434782608,0.014084507042253521,0.0,0.0,46,13,33,1.0,0.030303030303030304,-0.030303030303030304,0.0
1971,spy,1,46,71,0.021739130434782608,0.014084507042253521,1.0,0.07692307692307693,46,13,33,0.0,0.0,0.07692307692307693,
1971,strike,1,46,71,0.021739130434782608,0.014084507042253521,0.0,0.0,46,13,33,1.0,0.030303030303030304,-0.030303030303030304,0.0
1971,surveillance,1,46,71,0.021739130434782608,0.014084507042253521,0.0,0.0,46,13,33,1.0,0.030303030303030304,-0.030303030303030304,0.0
1971,totalitarian_regime,1,46,71,0.021739130434782608,0.014084507042253521,0.0,0.0,46,13,33,1.0,0.030303030303030304,-0.030303030303030304,0.0
1971,trade_union,1,46,71,0.021739130434782608,0.014084507042253521,0.0,0.0,46,13,33,1.0,0.030303030303030304,-0.030303030303030304,0.0
1971,us_army,1,46,71,0.021739130434782608,0.014084507042253521,0.0,0.0,46,13,33,1.0,0.030303030303030304,-0.030303030303030304,0.0
1971,vichy_regime,1,46,71,0.021739130434782608,0.014084507042253521,0.0,0.0,46,13,33,1.0,0.030303030303030304,-0.030303030303030304,0.0
1971,vietnam_veteran,1,46,71,0.021739130434782608,0.014084507042253521,1.0,0.07692307692307693,46,13,33,0.0,0.0,0.07692307692307693,
1971,washington_state,1,46,71,0.021739130434782608,0.014084507042253521,0.0,0.0,46,13,33,1.0,0.030303030303030304,-0.030303030303030304,0.0
1971,women's_prison,2,46,71,0.043478260869565216,0.028169014084507043,1.0,0.07692307692307693,46,13,33,1.0,0.030303030303030304,0.046620046620046623,2.5384615384615383
1971,worker,1,46,71,0.021739130434782608,0.014084507042253521,0.0,0.0,46,13,33,1.0,0.030303030303030304,-0.030303030303030304,0.0
1971,world_war_i,1,46,71,0.021739130434782608,0.014084507042253521,0.0,0.0,46,13,33,1.0,0.030303030303030304,-0.030303030303030304,0.0
1971,world_war_ii,5,46,71,0.10869565217391304,0.07042253521126761,1.0,0.07692307692307693,46,13,33,4.0,0.12121212121212122,-0.04428904428904429,0.6346153846153846
1971,wounded_soldier,1,46,71,0.021739130434782608,0.014084507042253521,0.0,0.0,46,13,33,1.0,0.030303030303030304,-0.030303030303030304,0.0
1972,alien_invasion,1,43,62,0.023255813953488372,0.016129032258064516,0.0,0.0,43,7,36,1.0,0.027777777777777776,-0.027777777777777776,0.0
1972,army,1,43,62,0.023255813953488372,0.016129032258064516,1.0,0.14285714285714285,43,7,36,0.0,0.0,0.14285714285714285,
1972,asylum,2,43,62,0.046511627906976744,0.03225806451612903,0.0,0.0,43,7,36,2.0,0.05555555555555555,-0.05555555555555555,0.0
1972,bank,1,43,62,0.023255813953488372,0.016129032258064516,0.0,0.0,43,7,36,1.0,0.027777777777777776,-0.027777777777777776,0.0
1972,bank_robbery,2,43,62,0.046511627906976744,0.03225806451612903,1.0,0.14285714285714285,43,7,36,1.0,0.027777777777777776,0.11507936507936507,5.142857142857143
1972,combat,1,43,62,0.023255813953488372,0.016129032258064516,1.0,0.14285714285714285,43,7,36,0.0,0.0,0.14285714285714285,
1972,communist_party,1,43,62,0.023255813953488372,0.016129032258064516,0.0,0.0,43,7,36,1.0,0.027777777777777776,-0.027777777777777776,0.0
1972,congress,1,43,62,0.023255813953488372,0.016129032258064516,0.0,0.0,43,7,36,1.0,0.027777777777777776,-0.027777777777777776,0.0
1972,corruption,1,43,62,0.023255813953488372,0.016129032258064516,0.0,0.0,43,7,36,1.0,0.027777777777777776,-0.027777777777777776,0.0
1972,debt_collector,1,43,62,0.023255813953488372,0.016129032258064516,0.0,0.0,43,7,36,1.0,0.027777777777777776,-0.027777777777777776,0.0
1972,depression,1,43,62,0.023255813953488372,0.016129032258064516,0.0,0.0,43,7,36,1.0,0.027777777777777776,-0.027777777777777776,0.0
1972,espionage,1,43,62,0.023255813953488372,0.016129032258064516,0.0,0.0,43,7,36,1.0,0.027777777777777776,-0.027777777777777776,0.0
1972,female_soldier,1,43,62,0.023255813953488372,0.016129032258064516,0.0,0.0,43,7,36,1.0,0.027777777777777776,-0.027777777777777776,0.0
1972,german_occupation,1,43,62,0.023255813953488372,0.016129032258064516,0.0,0.0,43,7,36,1.0,0.027777777777777776,-0.027777777777777776,0.0
1972,guerrilla_warfare,1,43,62,0.023255813953488372,0.016129032258064516,1.0,0.14285714285714285,43,7,36,0.0,0.0,0.14285714285714285,
1972,gun_battle,1,43,62,0.023255813953488372,0.016129032258064516,0.0,0.0,43,7,36,1.0,0.027777777777777776,-0.027777777777777776,0.0
1972,insane_asylum,2,43,62,0.046511627906976744,0.03225806451612903,0.0,0.0,43,7,36,2.0,0.05555555555555555,-0.05555555555555555,0.0
1972,insurrection,1,43,62,0.023255813953488372,0.016129032258064516,1.0,0.14285714285714285,43,7,36,0.0,0.0,0.14285714285714285,
1972,intelligence,1,43,62,0.023255813953488372,0.016129032258064516,0.0,0.0,43,7,36,1.0,0.027777777777777776,-0.027777777777777776,0.0
1972,judge,2,43,62,0.046511627906976744,0.03225806451612903,1.0,0.14285714285714285,43,7,36,1.0,0.027777777777777776,0.11507936507936507,5.142857142857143
1972,labor_organizer,1,43,62,0.023255813953488372,0.016129032258064516,0.0,0.0,43,7,36,1.0,0.027777777777777776,-0.027777777777777776,0.0
1972,marriage_crisis,1,43,62,0.023255813953488372,0.016129032258064516,0.0,0.0,43,7,36,1.0,0.027777777777777776,-0.027777777777777776,0.0
