year,bucket,mean_polkw_top20,mean_polkw_21_100,gap_polkw,mean_polshare_top20,mean_polshare_21_100,gap_polshare,mean_totalkw_top20,mean_totalkw_21_100
1970,action,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0
1970,non_action,1.1111111111111112,0.75,0.36111111111111116,0.11576879910213243,0.10555555555555556,0.010213243546576878,9.166666666666666,4.75
1971,action,1.5555555555555556,1.0,0.5555555555555556,0.14009141374870274,0.07692307692307693,0.06316833682562581,15.0,11.666666666666666
1971,non_action,0.5454545454545454,0.5714285714285714,-0.025974025974025983,0.06695046439628484,0.03148496240601504,0.0354655019902698,10.727272727272727,14.0
1972,action,0.8,1.0,-0.19999999999999996,0.09157509157509157,0.08116883116883117,0.0104062604062604,13.8,12.5
1972,non_action,0.4666666666666667,0.7142857142857143,-0.24761904761904763,0.055029284441049146,0.11190476190476191,-0.05687547746371276,11.333333333333334,8.285714285714286
1973,action,1.0,1.0,0.0,0.08947996447996448,0.09824561403508772,-0.00876564955512324,15.0,8.4
1973,non_action,1.2142857142857142,0.5,0.7142857142857142,0.09952359148787719,0.021739130434782608,0.07778446105309458,11.5,10.6
1974,action,0.625,0.25,0.375,0.07271825396825396,0.017857142857142856,0.054861111111111104,14.125,6.0
1974,non_action,0.4166666666666667,2.0,-1.5833333333333333,0.037089646464646464,0.11346153846153846,-0.076371891996892,11.75,10.5
1975,action,1.4,0.6,0.7999999999999999,0.09,0.1025,-0.012499999999999997,11.8,6.0
1975,non_action,1.2,0.7692307692307693,0.4307692307692307,0.10098217468805704,0.05291480766593889,0.04806736702211815,10.933333333333334,10.384615384615385
1976,action,2.3333333333333335,1.0,1.3333333333333335,0.23737373737373735,0.10220797720797721,0.13516576016576015,10.0,9.5
1976,non_action,0.7058823529411765,0.4,0.3058823529411765,0.07681224004753417,0.02675324675324675,0.050058993294287424,11.352941176470589,10.6
1977,action,1.5,1.0,0.5,0.055479242979242976,0.14015151515151514,-0.08467227217227216,20.833333333333332,8.857142857142858
1977,non_action,0.42857142857142855,0.2727272727272727,0.15584415584415584,0.03344671201814059,0.015495867768595043,0.017950844249545544,10.285714285714286,10.272727272727273
1978,action,1.0,1.75,-0.75,0.056617647058823536,0.12990196078431374,-0.0732843137254902,14.5,12.5
1978,non_action,1.0625,0.6818181818181818,0.38068181818181823,0.06174606643356643,0.05730548417714192,0.004440582256424505,13.1875,9.272727272727273
1979,action,1.3333333333333333,0.5714285714285714,0.7619047619047619,0.13253968253968254,0.06020408163265306,0.07233560090702948,15.0,10.285714285714286
1979,non_action,1.1176470588235294,0.6111111111111112,0.5065359477124183,0.09138507840553875,0.07125420875420875,0.02013086965133,12.470588235294118,9.055555555555555
1980,action,0.42857142857142855,0.9166666666666666,-0.4880952380952381,0.0332951362363127,0.09156746031746031,-0.05827232408114761,12.285714285714286,8.416666666666666
1980,non_action,0.8461538461538461,0.35294117647058826,0.4932126696832579,0.06982109620246131,0.03371106018164842,0.03611003602081289,15.923076923076923,9.264705882352942
1981,action,1.75,0.8,0.95,0.11756993006993005,0.08676470588235294,0.030805224187577113,14.625,15.2
1981,non_action,1.5833333333333333,0.46808510638297873,1.1152482269503545,0.12621914262781136,0.0438245265372925,0.08239461609051887,13.916666666666666,9.425531914893616
1982,action,2.142857142857143,0.875,1.2678571428571428,0.12954706284427647,0.06180555555555555,0.06774150728872091,16.0,11.875
1982,non_action,0.9230769230769231,0.42857142857142855,0.4945054945054946,0.044651057444579714,0.04817444460301602,-0.0035233871584363086,13.692307692307692,8.738095238095237
1983,action,1.8571428571428572,0.8,1.0571428571428572,0.17015482429016263,0.07516806722689076,0.09498675706327186,10.142857142857142,9.7
1983,non_action,0.6153846153846154,0.43137254901960786,0.18401206636500755,0.055769230769230765,0.05948949082713425,-0.0037202600579034836,8.923076923076923,6.9411764705882355
1984,action,0.7142857142857143,1.2352941176470589,-0.5210084033613446,0.029544513457556935,0.10965309200603317,-0.08010857854847624,20.428571428571427,11.411764705882353
1984,non_action,0.46153846153846156,0.5098039215686274,-0.04826546003016585,0.057833686781055195,0.081188961520413,-0.0233552747393578,10.384615384615385,9.235294117647058
1985,action,3.25,0.782608695652174,2.467391304347826,0.14158000364896917,0.08100005448403617,0.06057994916493299,22.75,9.478260869565217
1985,non_action,1.4375,0.40350877192982454,1.0339912280701755,0.1412377450980392,0.04215738395304959,0.09908036114498962,12.9375,8.31578947368421
1986,action,2.8,1.173913043478261,1.6260869565217388,0.10859195402298852,0.09298633413149382,0.015605619891494699,19.8,11.826086956521738
1986,non_action,0.26666666666666666,0.5789473684210527,-0.312280701754386,0.05,0.0755029852675282,-0.0255029852675282,10.866666666666667,9.263157894736842
1987,action,3.8333333333333335,1.4375,2.3958333333333335,0.21982694592988708,0.16862999374851156,0.051196952181375516,18.833333333333332,8.1875
1987,non_action,1.0,0.671875,0.328125,0.10053258145363408,0.0553869878791833,0.04514559357445078,12.571428571428571,10.25
1988,action,3.0,1.5,1.5,0.202020202020202,0.14196272477522479,0.0600574772449772,13.666666666666666,10.375
1988,non_action,0.35294117647058826,0.375,-0.022058823529411742,0.02556329549363605,0.04049111886887622,-0.014927823375240172,12.941176470588236,9.125
1989,action,1.6666666666666667,0.5925925925925926,1.0740740740740742,0.1224945533769063,0.09945804682646787,0.02303650655043843,17.166666666666668,7.592592592592593
1989,non_action,0.5,0.7924528301886793,-0.2924528301886793,0.04328231292517006,0.08553776210063908,-0.04225544917546902,11.857142857142858,10.452830188679245
