window_id,year,keyword,rate_per_movie,share_within_political
2001_pm1,2000,alien_invasion,0.00980392156862745,0.005847953216374269
2001_pm1,2000,cia,0.0196078431372549,0.011695906432748537
2001_pm1,2000,corruption,0.029411764705882353,0.017543859649122806
2001_pm1,2000,depression,0.049019607843137254,0.029239766081871343
2001_pm1,2000,fbi,0.049019607843137254,0.029239766081871343
2001_pm1,2000,hostage,0.00980392156862745,0.005847953216374269
2001_pm1,2000,military,0.00980392156862745,0.005847953216374269
2001_pm1,2000,police,0.049019607843137254,0.029239766081871343
2001_pm1,2000,politics,0.049019607843137254,0.029239766081871343
2001_pm1,2000,prison,0.06862745098039216,0.04093567251461988
2001_pm1,2000,racism,0.00980392156862745,0.005847953216374269
2001_pm1,2000,soldier,0.029411764705882353,0.017543859649122806
2001_pm1,2000,spy,0.0392156862745098,0.023391812865497075
2001_pm1,2000,terrorism,0.00980392156862745,0.005847953216374269
2001_pm1,2000,world_war_ii,0.029411764705882353,0.017543859649122806
2001_pm1,2001,alien_invasion,0.008928571428571428,0.00546448087431694
2001_pm1,2001,cia,0.017857142857142856,0.01092896174863388
2001_pm1,2001,corruption,0.008928571428571428,0.00546448087431694
2001_pm1,2001,depression,0.026785714285714284,0.01639344262295082
2001_pm1,2001,fbi,0.03571428571428571,0.02185792349726776
2001_pm1,2001,hostage,0.026785714285714284,0.01639344262295082
2001_pm1,2001,military,0.017857142857142856,0.01092896174863388
2001_pm1,2001,police,0.08035714285714286,0.04918032786885246
2001_pm1,2001,politics,0.008928571428571428,0.00546448087431694
2001_pm1,2001,prison,0.0625,0.03825136612021858
2001_pm1,2001,racism,0.017857142857142856,0.01092896174863388
2001_pm1,2001,soldier,0.03571428571428571,0.02185792349726776
2001_pm1,2001,spy,0.044642857142857144,0.0273224043715847
2001_pm1,2001,terrorism,0.05357142857142857,0.03278688524590164
2001_pm1,2001,world_war_ii,0.08928571428571429,0.0546448087431694
2001_pm1,2002,alien_invasion,0.008,0.004219409282700422
2001_pm1,2002,cia,0.024,0.012658227848101266
2001_pm1,2002,corruption,0.024,0.012658227848101266
2001_pm1,2002,depression,0.024,0.012658227848101266
2001_pm1,2002,fbi,0.056,0.029535864978902954
2001_pm1,2002,hostage,0.032,0.016877637130801686
2001_pm1,2002,military,0.024,0.012658227848101266
2001_pm1,2002,police,0.048,0.02531645569620253
2001_pm1,2002,prison,0.04,0.02109704641350211
2001_pm1,2002,racism,0.008,0.004219409282700422
2001_pm1,2002,soldier,0.048,0.02531645569620253
2001_pm1,2002,spy,0.048,0.02531645569620253
2001_pm1,2002,terrorism,0.056,0.029535864978902954
2001_pm1,2002,world_war_ii,0.048,0.02531645569620253
2008_pm1,2007,alien_invasion,0.013245033112582781,0.0071174377224199285
2008_pm1,2007,cia,0.013245033112582781,0.0071174377224199285
2008_pm1,2007,corruption,0.046357615894039736,0.02491103202846975
2008_pm1,2007,depression,0.019867549668874173,0.010676156583629894
2008_pm1,2007,fbi,0.06622516556291391,0.03558718861209965
2008_pm1,2007,hostage,0.013245033112582781,0.0071174377224199285
2008_pm1,2007,military,0.006622516556291391,0.0035587188612099642
2008_pm1,2007,police,0.07947019867549669,0.042704626334519574
2008_pm1,2007,politics,0.006622516556291391,0.0035587188612099642
2008_pm1,2007,prison,0.019867549668874173,0.010676156583629894
2008_pm1,2007,racism,0.026490066225165563,0.014234875444839857
2008_pm1,2007,soldier,0.013245033112582781,0.0071174377224199285
2008_pm1,2007,spy,0.019867549668874173,0.010676156583629894
2008_pm1,2007,terrorism,0.052980132450331126,0.028469750889679714
2008_pm1,2007,world_war_ii,0.0728476821192053,0.03914590747330961
2008_pm1,2008,alien_invasion,0.01818181818181818,0.010416666666666666
2008_pm1,2008,cia,0.012121212121212121,0.006944444444444444
2008_pm1,2008,corruption,0.01818181818181818,0.010416666666666666
2008_pm1,2008,depression,0.01818181818181818,0.010416666666666666
2008_pm1,2008,fbi,0.03636363636363636,0.020833333333333332
2008_pm1,2008,hostage,0.04242424242424243,0.024305555555555556
2008_pm1,2008,military,0.012121212121212121,0.006944444444444444
2008_pm1,2008,police,0.08484848484848485,0.04861111111111111
2008_pm1,2008,politics,0.04242424242424243,0.024305555555555556
2008_pm1,2008,prison,0.07272727272727272,0.041666666666666664
2008_pm1,2008,racism,0.006060606060606061,0.003472222222222222
2008_pm1,2008,soldier,0.04242424242424243,0.024305555555555556
2008_pm1,2008,spy,0.01818181818181818,0.010416666666666666
2008_pm1,2008,terrorism,0.07272727272727272,0.041666666666666664
2008_pm1,2008,world_war_ii,0.06060606060606061,0.034722222222222224
2008_pm1,2009,alien_invasion,0.007462686567164179,0.004291845493562232
2008_pm1,2009,corruption,0.04477611940298507,0.02575107296137339
2008_pm1,2009,depression,0.029850746268656716,0.017167381974248927
2008_pm1,2009,fbi,0.022388059701492536,0.012875536480686695
2008_pm1,2009,hostage,0.04477611940298507,0.02575107296137339
2008_pm1,2009,military,0.022388059701492536,0.012875536480686695
2008_pm1,2009,police,0.03731343283582089,0.02145922746781116
2008_pm1,2009,politics,0.007462686567164179,0.004291845493562232
2008_pm1,2009,prison,0.04477611940298507,0.02575107296137339
2008_pm1,2009,racism,0.014925373134328358,0.008583690987124463
2008_pm1,2009,soldier,0.022388059701492536,0.012875536480686695
2008_pm1,2009,spy,0.014925373134328358,0.008583690987124463
2008_pm1,2009,terrorism,0.014925373134328358,0.008583690987124463
2008_pm1,2009,world_war_ii,0.04477611940298507,0.02575107296137339
