keyword,count,cum_count,cum_share
china,128,47731,0.2677786006014093
airplane,127,47858,0.2684910910641354
space,127,47985,0.26920358152686147
1990s,127,48112,0.26991607198958756
florida,126,48238,0.2706229522911898
male_homosexuality,125,48363,0.27132422243166826
train,125,48488,0.2720254925721467
neighbor,125,48613,0.2727267627126251
relationship,123,48736,0.27341681253085587
cia,123,48859,0.27410686234908666
illinois,123,48982,0.27479691216731744
divorce,123,49105,0.27548696198554823
mental_illness,122,49227,0.2761714016426552
hero,122,49349,0.27685584129976215
explosion,122,49471,0.27754028095686906
based_on_tv_series,121,49592,0.2782191104528522
paranoia,119,49711,0.2788867196265877
alcoholic,118,49829,0.27954871863919933
transformation,118,49947,0.28021071765181094
silent_film,117,50064,0.28086710650329877
bullying,116,50180,0.2815178851936628
sword_fight,116,50296,0.2821686638840267
sheriff,116,50412,0.28281944257439073
drug_dealer,115,50527,0.2834646111036309
widow,115,50642,0.28410977963287104
organized_crime,114,50756,0.2847493380009874
chicago,114,50870,0.2853888963691037
canada,114,50984,0.28602845473722005
castle,113,51097,0.2866624029442126
gun,113,51210,0.28729635115120505
dysfunctional_family,113,51323,0.2879302993581976
blackmail,113,51436,0.28856424756519006
sadism,112,51548,0.28919258561105876
single_mother,112,51660,0.2898209236569274
rivalry,112,51772,0.2904492617027961
anthology,112,51884,0.29107759974866476
mafia,111,51995,0.29170032763340964
singer,111,52106,0.29232305551815446
teenager,111,52217,0.29294578340289934
based_on_video_game,111,52328,0.29356851128764416
africa,110,52438,0.2941856290112652
hollywood,110,52548,0.2948027467348862
thief,110,52658,0.29541986445850726
rural_area,110,52768,0.29603698218212826
alien_invasion,109,52877,0.2966484897446255
movie_business,109,52986,0.29725999730712266
car_accident,109,53095,0.29787150486961983
werewolf,108,53203,0.29847740227099323
undercover,108,53311,0.2990832996723666
marijuana,107,53418,0.29968358691261615
falling_in_love,107,53525,0.30028387415286567
drug_addiction,106,53631,0.30087855123199136
san_francisco,106,53737,0.3014732283111171
based_on_short_story,106,53843,0.3020679053902428
depression,106,53949,0.3026625824693685
cannibal,105,54054,0.3032516493873704
military,104,54158,0.30383510614424847
priest,104,54262,0.3044185629011265
spoof,104,54366,0.30500201965800455
snow,103,54469,0.3055798662537588
competition,103,54572,0.30615771284951304
church,103,54675,0.30673555944526726
summer,102,54777,0.30730779587989765
amnesia,102,54879,0.3078800323145281
village,101,54980,0.30844665858803466
halloween,101,55081,0.3090132848615412
woods,101,55182,0.3095799111350478
disaster,100,55282,0.31014092724743053
cartoon,100,55382,0.31070194335981327
curse,100,55482,0.31126295947219607
anthropomorphism,100,55582,0.3118239755845788
india,100,55682,0.31238499169696154
cat,100,55782,0.3129460078093443
grief,100,55882,0.313507023921727
battle,99,55981,0.31406242987298594
concert,99,56080,0.31461783582424485
alcohol,99,56179,0.31517324177550377
football_(soccer),99,56278,0.31572864772676273
brutality,98,56376,0.3162784435168978
photographer,98,56474,0.3168282393070329
based_on_children's_book,98,56572,0.317378035097168
animal,98,56670,0.3179278308873031
vacation,98,56768,0.3184776266774382
whodunit,97,56865,0.31902181230644944
fairy_tale,97,56962,0.3195659979354607
new_love,97,57059,0.32011018356447196
spacecraft,96,57155,0.3206487590323594
good_versus_evil,96,57251,0.32118733450024683
road_movie,96,57347,0.32172590996813427
alcoholism,96,57443,0.3222644854360217
princess,96,57539,0.32280306090390914
dancing,96,57635,0.3233416363717966
artist,96,57731,0.323880211839684
horse,96,57827,0.32441878730757145
jungle,96,57923,0.3249573627754589
louisiana,95,58018,0.3254903280822225
cancer,95,58113,0.3260232933889861
seduction,95,58208,0.3265562586957497
car_crash,94,58302,0.3270836138413895
psychological_thriller,94,58396,0.3276109689870293
secret_agent,94,58490,0.3281383241326691
bank_robbery,94,58584,0.32866567927830886
police_officer,94,58678,0.32919303442394865
incest,94,58772,0.32972038956958843
loneliness,93,58865,0.3302421345541044
native_american,92,58957,0.3307582693774965
love_of_one's_life,92,59049,0.33127440420088866
nurse,92,59141,0.3317905390242808
army,91,59232,0.3323010636865491
1920s,91,59323,0.33281158834881736
author,91,59414,0.33332211301108566
hallucination,91,59505,0.33383263767335397
prostitution,91,59596,0.3343431623356223
reporter,91,59687,0.3348536869978906
fire,91,59778,0.3353642116601589
gambling,91,59869,0.3358747363224272
possession,90,59959,0.33637965082357163
baby,90,60049,0.3368845653247161
vigilante,89,60138,0.33738386966473677
missing_person,89,60227,0.3378831740047574
rome,89,60316,0.3383824783447781
kung_fu,89,60405,0.3388817826847987
teen_movie,89,60494,0.33938108702481934
professor,88,60582,0.33987478120371617
child_abuse,88,60670,0.340368475382613
suicide_attempt,88,60758,0.34086216956150983
nightclub,88,60846,0.3413558637404066
south_korea,87,60933,0.3418439477581796
scotland,87,61020,0.3423320317759526
helicopter,87,61107,0.3428201157937256
lesbian,87,61194,0.34330819981149857
shark,86,61280,0.34379067366814775
twins,86,61366,0.34427314752479693
cyberpunk,85,61451,0.34475001122032223
on_the_run,85,61536,0.3452268749158476
pets,85,61621,0.34570373861137293
eroticism,85,61706,0.34618060230689823
artificial_intelligence_(a.i.),84,61790,0.34665185584129976
funeral,84,61874,0.3471231093757013
mutant,84,61958,0.34759436291010276
winter,84,62042,0.3480656164445043
homophobia,84,62126,0.3485368699789058
married_couple,84,62210,0.3490081235133073
restaurant,84,62294,0.3494793770477088
psychiatrist,84,62378,0.34995063058211034
stalker,84,62462,0.3504218841165118
gunfight,83,62545,0.3508875274897895
live_action_and_animation,82,62627,0.35134756070194334
evil,82,62709,0.3518075939140972
usa_president,81,62790,0.3522620169651272
sword,81,62871,0.35271644001615726
dinosaur,81,62952,0.3531708630671873
showdown,81,63033,0.3536252861182173
pennsylvania,81,63114,0.35407970916924736
disappearance,80,63194,0.35452852205915353
sexuality,80,63274,0.35497733494905975
giant_monster,80,63354,0.3554261478389659
slapstick_comedy,80,63434,0.35587496072887215
motorcycle,80,63514,0.3563237736187783
prisoner,80,63594,0.35677258650868454
dragon,79,63673,0.3572157892374669
dance,79,63752,0.3576589919662493
insanity,79,63831,0.35810219469503163
mask,79,63910,0.358545397423814
cult,79,63989,0.35898860015259637
ship,78,64067,0.35942619272025494
1910s,78,64145,0.35986378528791346
co-workers_relationship,78,64223,0.36030137785557204
farm,78,64301,0.36073897042323055
space_travel,77,64378,0.36117095282976525
epic,77,64455,0.3616029352363
wilderness,77,64532,0.3620349176428347
faith,77,64609,0.36246690004936943
cocaine,77,64686,0.3628988824559041
villain,76,64762,0.36332525470131505
period_drama,76,64838,0.3637516269467259
world_war_i,76,64914,0.3641779991921368
travel,76,64990,0.3646043714375477
based_on_memoir_or_autobiography,76,65066,0.36503074368295857
christianity,76,65142,0.36545711592836944
police_corruption,76,65218,0.36588348817378036
group_of_friends,76,65294,0.3663098604191912
musician,75,65369,0.3667306225034783
video_game,75,65444,0.36715138458776536
massachusetts,75,65519,0.3675721466720524
brother,75,65594,0.3679929087563395
samurai,75,65669,0.36841367084062654
cop,75,65744,0.3688344329249136
assassination,75,65819,0.3692551950092007
mercenary,74,65893,0.3696703469323639
forbidden_love,74,65967,0.3700854988555271
motel,74,66041,0.3705006507786904
sea,74,66115,0.3709158027018536
casino,74,66189,0.3713309546250168
lgbt_interest,74,66263,0.3717461065481801
tragedy,73,66336,0.37215564831021947
mountain,73,66409,0.37256519007225886
espionage,73,66482,0.3729747318342983
boat,73,66555,0.3733842735963377
teenage_boy,72,66627,0.37378820519725325
prince,72,66699,0.3741921367981688
tokyo,72,66771,0.37459606839908444
home_invasion,72,66843,0.375
bomb,72,66915,0.37540393160091556
lesbian_relationship,72,66987,0.3758078632018312
ireland,72,67059,0.37621179480274675
pre-code,72,67131,0.3766157264036623
sister_sister_relationship,71,67202,0.37701404784345405
street_gang,71,67273,0.37741236928324584
animal_attack,71,67344,0.3778106907230376
isolation,71,67415,0.3782090121628293
cold_war,71,67486,0.37860733360262105
death_game,71,67557,0.3790056550424128
poverty,71,67628,0.3794039764822046
deception,70,67698,0.3797966877608725
pilot,70,67768,0.3801893990395404
brother_brother_relationship,70,67838,0.3805821103182083
voyeurism,70,67908,0.3809748215968763
fistfight,70,67978,0.3813675328755442
18th_century,69,68047,0.3817546339930883
sister,69,68116,0.3821417351106324
mockumentary,69,68185,0.38252883622817646
santa_claus,69,68254,0.38291593734572055
trial,69,68323,0.3833030384632647
american_football,69,68392,0.3836901395808088
secret_identity,68,68460,0.38407163053722904
washington_dc,68,68528,0.3844531214936493
waitress,68,68596,0.38483461245006956
sex_comedy,68,68664,0.3852161034064898
las_vegas,67,68731,0.38559198420178625
filmmaking,67,68798,0.38596786499708274
baseball,67,68865,0.3863437457923792
interview,67,68932,0.3867196265876756
mother,67,68999,0.38709550738297205
ex-con,67,69066,0.3874713881782685
dating,67,69133,0.3878472689735649
older_man_younger_woman_relationship,67,69200,0.38822314976886135
disaster_movie,66,69266,0.38859342040303396
android,66,69332,0.38896369103720657
childhood_friends,66,69398,0.3893339616713792
gay_interest,66,69464,0.3897042323055518
brother_sister_relationship,66,69530,0.39007450293972445
father,66,69596,0.39044477357389706
roommate,66,69662,0.3908150442080697
thailand,66,69728,0.3911853148422423
love_affair,65,69793,0.39154997531529107
fear,65,69858,0.39191463578833985
virus,65,69923,0.39227929626138863
berlin,65,69988,0.3926439567344374
adoption,65,70053,0.3930086172074862
17th_century,65,70118,0.393373277680535
anti_hero,64,70182,0.39373232799245994
nature,64,70246,0.3940913783043849
post-traumatic_stress_disorder_(ptsd),64,70310,0.39445042861630986
pirate,64,70374,0.3948094789282348
buddy_cop,64,70438,0.39516852924015977
apocalypse,64,70502,0.39552757955208473
manhattan,64,70566,0.3958866298640097
submarine,64,70630,0.39624568017593464
family_secrets,64,70694,0.3966047304878596
devil,64,70758,0.39696378079978456
child,63,70821,0.3973172209505857
alien_life-form,63,70884,0.3976706611013868
new_jersey,63,70947,0.39802410125218796
celebrity,63,71010,0.3983775414029891
kaiju,63,71073,0.3987309815537902
based_on_toy,63,71136,0.39908442170459135
exploitation,63,71199,0.3994378618553925
mistaken_identity,63,71262,0.3997913020061936
vietnam_war,62,71324,0.4001391319958709
mad_scientist,62,71386,0.40048696198554823
occult,62,71448,0.40083479197522554
cyborg,62,71510,0.40118262196490284
yakuza,62,71572,0.40153045195458015
first_love,62,71634,0.40187828194425745
memory,61,71695,0.40222050177281093
police_brutality,61,71756,0.4025627216013644
fugitive,61,71817,0.40290494142991784
widower,61,71878,0.4032471612584713
marriage_crisis,61,71939,0.4035893810870248
warrior,61,72000,0.4039316009155783
mansion,61,72061,0.40427382074413176
private_detective,61,72122,0.40461604057268524
cemetery,61,72183,0.4049582604012387
historical_figure,61,72244,0.4053004802297922
rock_'n'_roll,61,72305,0.4056427000583457
saving_the_world,60,72365,0.40597930972577534
historical_fiction,60,72425,0.406315919393205
royalty,60,72485,0.40665252906063465
training,60,72545,0.40698913872806425
animal_horror,60,72605,0.4073257483954939
war_veteran,60,72665,0.40766235806292356
virgin,60,72725,0.4079989677303532
courtroom,60,72785,0.40833557739778287
millionaire,60,72845,0.4086721870652125
drug_abuse,60,72905,0.4090087967326422
guilt,60,72965,0.40934540640007183
decapitation,60,73025,0.40968201606750143
painter,60,73085,0.4100186257349311
gold,59,73144,0.4103496252412369
massacre,59,73203,0.41068062474754274
swimming_pool,59,73262,0.4110116242538486
voyeur,59,73321,0.4113426237601544
trauma,59,73380,0.41167362326646023
nun,59,73439,0.41200462277276606
1900s,59,73498,0.41233562227907183
inheritance,59,73557,0.41266662178537766
astronaut,58,73615,0.41299201113055967
prison_escape,58,73673,0.41331740047574167
class_differences,58,73731,0.4136427898209237
cheating,58,73789,0.4139681791661057
trapped,58,73847,0.4142935685112876
bible,58,73905,0.4146189578564696
coming_out,58,73963,0.41494434720165163
stop_motion,58,74021,0.41526973654683363
demonic_possession,58,74079,0.41559512589201564
rape_and_revenge,58,74137,0.4159205152371976
theft,57,74194,0.41624029442125576
river,57,74251,0.41656007360531394
new_orleans,57,74308,0.4168798527893721
prequel,57,74365,0.4171996319734303
mobster,57,74422,0.4175194111574884
exorcism,57,74479,0.4178391903415466
surveillance,57,74536,0.4181589695256048
college_student,57,74593,0.41847874870966295
corpse,57,74650,0.41879852789372113
camping,57,74707,0.41911830707777925
court_case,57,74764,0.41943808626183743
terminal_illness,57,74821,0.4197578654458956
basketball,57,74878,0.4200776446299538
independent_film,57,74935,0.42039742381401196
break-up,57,74992,0.4207172029980701
erotic_movie,57,75049,0.42103698218212826
single_father,56,75105,0.4213511512050626
wizard,56,75161,0.42166532022799696
supernatural_power,56,75217,0.42197948925093126
drug_trafficking,56,75273,0.4222936582738656
hong_kong,56,75329,0.42260782729679996
university,56,75385,0.4229219963197343
series_of_murders,56,75441,0.42323616534266867
addiction,55,75496,0.42354472420447914
sword_and_sorcery,55,75551,0.42385328306628967
space_opera,55,75606,0.4241618419281002
bank,55,75661,0.42447040078991066
immigrant,55,75716,0.4247789596517212
computer,55,75771,0.4250875185135317
egypt,55,75826,0.42539607737534224
michigan,55,75881,0.4257046362371527
singing,55,75936,0.42601319509896324
murder_investigation,55,75991,0.42632175396077376
judge,55,76046,0.4266303128225843
teacher_student_relationship,55,76101,0.42693887168439476
greed,55,76156,0.4272474305462053
hoodlum,55,76211,0.4275559894080158
boxer,54,76265,0.42785893810870246
