keyword,count,is_political,matched_rule
psychiatrist,84,False,
stalker,84,False,
gunfight,83,False,
live_action_and_animation,82,False,
evil,82,False,
usa_president,81,True,institutions_elections_law
sword,81,False,
dinosaur,81,False,
showdown,81,False,
pennsylvania,81,False,
disappearance,80,False,
sexuality,80,False,
giant_monster,80,False,
slapstick_comedy,80,False,
motorcycle,80,False,
prisoner,80,False,
dragon,79,False,
dance,79,False,
insanity,79,False,
mask,79,False,
cult,79,False,
ship,78,False,
1910s,78,False,
co-workers_relationship,78,False,
farm,78,False,
space_travel,77,False,
epic,77,False,
wilderness,77,False,
faith,77,False,
cocaine,77,False,
villain,76,False,
period_drama,76,False,
world_war_i,76,True,war_security_intel
travel,76,False,
based_on_memoir_or_autobiography,76,False,
christianity,76,False,
police_corruption,76,True,inequality_corruption_elites
group_of_friends,76,False,
musician,75,False,
video_game,75,False,
massachusetts,75,False,
brother,75,False,
samurai,75,False,
cop,75,True,migration_police_civilrights
assassination,75,False,
mercenary,74,False,
forbidden_love,74,False,
motel,74,False,
sea,74,False,
casino,74,False,
lgbt_interest,74,False,
tragedy,73,False,
mountain,73,False,
espionage,73,True,war_security_intel
boat,73,False,
teenage_boy,72,False,
prince,72,False,
tokyo,72,False,
home_invasion,72,True,war_security_intel
bomb,72,False,
lesbian_relationship,72,False,
ireland,72,False,
pre-code,72,False,
sister_sister_relationship,71,False,
street_gang,71,False,
animal_attack,71,False,
isolation,71,False,
cold_war,71,True,war_security_intel
death_game,71,False,
poverty,71,True,inequality_corruption_elites
deception,70,False,
pilot,70,False,
brother_brother_relationship,70,False,
voyeurism,70,False,
fistfight,70,False,
18th_century,69,False,
sister,69,False,
mockumentary,69,False,
santa_claus,69,False,
trial,69,True,institutions_elections_law
american_football,69,False,
secret_identity,68,False,
washington_dc,68,False,
waitress,68,False,
sex_comedy,68,False,
las_vegas,67,False,
filmmaking,67,False,
baseball,67,False,
interview,67,False,
mother,67,False,
ex-con,67,False,
dating,67,False,
older_man_younger_woman_relationship,67,False,
disaster_movie,66,False,
android,66,False,
childhood_friends,66,False,
gay_interest,66,False,
brother_sister_relationship,66,False,
father,66,False,
roommate,66,False,
thailand,66,False,
love_affair,65,False,
fear,65,False,
virus,65,False,
berlin,65,False,
adoption,65,False,
17th_century,65,False,
anti_hero,64,False,
nature,64,False,
post-traumatic_stress_disorder_(ptsd),64,False,
pirate,64,False,
buddy_cop,64,True,migration_police_civilrights
apocalypse,64,False,
manhattan,64,False,
submarine,64,False,
family_secrets,64,False,
devil,64,False,
child,63,False,
alien_life-form,63,False,
new_jersey,63,False,
celebrity,63,False,
kaiju,63,False,
based_on_toy,63,False,
exploitation,63,False,
mistaken_identity,63,False,
vietnam_war,62,True,war_security_intel
mad_scientist,62,False,
occult,62,False,
cyborg,62,False,
yakuza,62,False,
first_love,62,False,
memory,61,False,
police_brutality,61,True,migration_police_civilrights
fugitive,61,False,
widower,61,False,
marriage_crisis,61,True,economy_finance_crisis
warrior,61,False,
mansion,61,False,
private_detective,61,False,
cemetery,61,False,
historical_figure,61,False,
rock_'n'_roll,61,False,
saving_the_world,60,False,
historical_fiction,60,False,
royalty,60,False,
training,60,False,
animal_horror,60,False,
war_veteran,60,True,war_security_intel
virgin,60,False,
courtroom,60,False,
millionaire,60,False,
drug_abuse,60,False,
guilt,60,False,
decapitation,60,False,
painter,60,False,
gold,59,False,
massacre,59,False,
swimming_pool,59,False,
voyeur,59,False,
trauma,59,False,
nun,59,False,
1900s,59,False,
inheritance,59,False,
astronaut,58,False,
prison_escape,58,True,migration_police_civilrights
class_differences,58,False,
cheating,58,False,
trapped,58,False,
bible,58,False,
coming_out,58,False,
stop_motion,58,False,
demonic_possession,58,False,
rape_and_revenge,58,False,
theft,57,False,
river,57,False,
new_orleans,57,False,
prequel,57,False,
mobster,57,False,
exorcism,57,False,
surveillance,57,True,war_security_intel
college_student,57,False,
corpse,57,False,
camping,57,False,
court_case,57,True,institutions_elections_law
terminal_illness,57,False,
basketball,57,False,
independent_film,57,False,
break-up,57,False,
erotic_movie,57,False,
single_father,56,False,
wizard,56,False,
supernatural_power,56,False,
drug_trafficking,56,False,
hong_kong,56,False,
university,56,False,
series_of_murders,56,False,
addiction,55,False,
sword_and_sorcery,55,False,
space_opera,55,False,
bank,55,True,economy_finance_crisis
immigrant,55,True,migration_police_civilrights
computer,55,False,
egypt,55,False,
michigan,55,False,
singing,55,False,
murder_investigation,55,False,
judge,55,True,institutions_elections_law
teacher_student_relationship,55,False,
greed,55,True,inequality_corruption_elites
hoodlum,55,False,
boxer,54,False,
hacker,54,False,
fighting,54,False,
car_race,54,False,
king,54,False,
interracial_relationship,54,False,
survival_horror,54,False,
sniper,54,False,
wheelchair,54,False,
agent,54,False,
boyfriend_girlfriend_relationship,54,False,
lie,54,False,
new_year's_eve,54,False,
civil_war,53,True,war_security_intel
painting,53,False,
strip_club,53,False,
high_school_student,53,False,
disguise,53,False,
illness,53,False,
boxing,53,False,
madrid,53,False,
undercover_agent,53,False,
older_woman_younger_man_relationship,53,False,
virtual_reality,52,False,
spirit,52,False,
circus,52,False,
murder_mystery,52,False,
knife,52,False,
marriage_proposal,52,False,
femme_fatale,52,False,
kiss,52,False,
poison,52,False,
child_kidnapping,52,False,
wealth,52,False,
comedian,52,False,
redemption,51,False,
journey,51,False,
cave,51,False,
afterlife,51,False,
queen,51,False,
steampunk,51,False,
government,51,True,institutions_elections_law
mass_murder,51,False,
treasure,51,False,
treasure_hunt,51,False,
end_of_the_world,51,False,
stripper,51,False,
gas_station,51,False,
surreal,51,False,
video_nasty,51,False,
mission,50,False,
manipulation,50,False,
autism,50,False,
bounty_hunter,50,False,
europe,50,False,
court,50,True,institutions_elections_law
ghetto,50,False,
shotgun,50,False,
cowboy,50,False,
one_man_army,50,True,war_security_intel
shark_attack,50,False,
art,50,False,
house,50,False,
birthday,50,False,
technology,49,False,
adolescence,49,False,
israel,49,False,
fairy,49,False,
norway,49,False,
doppelgänger,49,False,
girlfriend,49,False,
maniac,49,False,
teenage_crush,48,False,
buddy,48,False,
resistance,48,False,
madness,48,False,
underdog,48,False,
earthquake,48,False,
drug_lord,48,False,
police_detective,48,True,migration_police_civilrights
heroin,48,False,
brothel,48,False,
punk_rock,48,False,
haunting,48,False,
babysitter,48,False,
screwball_comedy,48,False,
knight,48,False,
breaking_the_fourth_wall,47,False,
brooklyn,47,False,
love_at_first_sight,47,False,
immortality,47,False,
wife,47,False,
grandparent_grandchild_relationship,47,False,
urban_setting,47,False,
letter,47,False,
bully,47,False,
newspaper,47,False,
cabin,47,False,
airport,47,False,
countryside,47,False,
witchcraft,47,False,
debt,47,True,economy_finance_crisis
career,47,False,
chaos,46,False,
slavery,46,False,
revolution,46,True,labor_collective_action
child_murder,46,False,
bear,46,False,
supernatural_horror,46,False,
aids,46,False,
orphanage,46,False,
narration,46,False,
ocean,46,False,
archaeologist,46,False,
politician,46,False,
outlaw,46,False,
medieval,46,False,
sexual_abuse,46,False,
bisexuality,46,False,
gothic_horror,46,False,
drinking,46,False,
unemployment,46,True,economy_finance_crisis
shipwreck,45,False,
inventor,45,False,
combat,45,True,war_security_intel
stalking,45,False,
memory_loss,45,False,
monkey,45,False,
based_on_graphic_novel,45,False,
diner,45,False,
mythology,45,False,
lgbt_teen,45,False,
vietnam,45,False,
austria,45,False,
wolf,45,False,
16th_century,45,False,
middle_ages_(476-1453),45,False,
unrequited_love,45,False,
philosophy,44,False,
vietnam_veteran,44,True,war_security_intel
boarding_school,44,False,
clown,44,False,
working_class,44,True,labor_collective_action
coma,44,False,
swamp,44,False,
dancer,44,False,
single,44,False,
gothic,44,False,
fashion,44,False,
pornography,44,False,
resurrection,44,False,
russia,44,False,
human_animal_relationship,44,False,
mind_control,44,False,
summer_camp,44,False,
bank_robber,44,True,economy_finance_crisis
italian,44,False,
lake,44,False,
adventurer,43,False,
fantasy_world,43,False,
suspicion,43,False,
amusement_park,43,False,
feminism,43,False,
fish_out_of_water,43,False,
underwater,43,False,
storm,43,False,
undercover_cop,43,True,migration_police_civilrights
relationship_problems,43,False,
museum,43,False,
kingdom,43,False,
teenage_protagonist,43,False,
accident,43,False,
social_media,43,False,
moon,43,False,
oregon,43,False,
architect,43,False,
arranged_marriage,43,False,
bodyguard,43,False,
fake_identity,43,False,
internet,43,False,
sweden,43,False,
falsely_accused,43,False,
hitchhiker,43,False,
psychotronic,43,False,
childhood_trauma,43,False,
undead,43,False,
farmer,42,False,
sadness,42,False,
fame,42,False,
holocaust_(shoah),42,False,
boston,42,False,
new_york,42,False,
secret_love,42,False,
arizona,42,False,
drug_use,42,False,
subway,42,False,
ex-husband_ex-wife_relationship,42,False,
loss_of_virginity,42,False,
identity,42,False,
violence,42,False,
ritual,42,False,
hip-hop,42,False,
victorian_england,42,False,
new_mexico,41,False,
ninja,41,False,
rain,41,False,
teenage_love,41,False,
missing_child,41,False,
photography,41,False,
magic_realism,41,False,
war_crimes,41,True,war_security_intel
film_in_film,41,False,
young_adult,41,False,
therapist,41,False,
miami,41,False,
detroit,41,False,
black_humor,41,False,
cell_phone,41,False,
soviet_union,41,True,labor_collective_action
crush,41,False,
becoming_an_adult,41,False,
argentina,41,False,
summer_vacation,41,False,
lover,41,False,
nasa,40,False,
sacrifice,40,False,
flying,40,False,
rescue_mission,40,False,
domestic_violence,40,False,
southern_usa,40,False,
jazz,40,False,
cruelty,40,False,
poland,40,False,
zombie_apocalypse,40,False,
ballet,40,False,
time_loop,40,False,
journalism,40,False,
taxi_driver,40,False,
death_of_mother,40,False,
businessman,40,False,
security_guard,40,False,
mutation,40,False,
south_africa,40,False,
denmark,40,False,
anarchic_comedy,40,False,
hell,40,False,
one-night_stand,40,False,
post_world_war_ii,40,True,war_security_intel
reunion,40,False,
ranch,40,False,
slice_of_life,40,False,
prophecy,39,False,
volcano,39,False,
vigilante_justice,39,False,
jail,39,False,
sociopath,39,False,
blood_splatter,39,False,
midlife_crisis,39,True,economy_finance_crisis
psychologist,39,False,
washington,39,False,
lovers,39,False,
prisoner_of_war,39,True,war_security_intel
ransom,39,False,
mayor,39,False,
abuse,39,False,
lust,39,False,
housewife,39,False,
man_woman_relationship,39,False,
fraud,38,True,inequality_corruption_elites
rebel,38,False,
strong_woman,38,False,
age_difference,38,False,
legend,38,False,
parallel_world,38,False,
hypnosis,38,False,
great_depression,38,True,economy_finance_crisis
ambition,38,False,
infection,38,False,
space_marine,38,False,
juvenile_delinquent,38,False,
suburb,38,False,
cheerleader,38,False,
u.s._navy,38,False,
double_life,38,False,
childhood,38,False,
blindness,38,False,
poet,38,False,
communism,38,True,inequality_corruption_elites
superhero_team,37,False,
multiple_storylines,37,False,
mermaid,37,False,
radio,37,False,
loss,37,False,
chef,37,False,
intelligence,37,True,war_security_intel
live_action_remake,37,False,
venice,37,False,
hotel_room,37,False,
little_boy,37,False,
snake,37,False,
teenage_romance,37,False,
social_satire,37,False,
teenage_sexuality,37,False,
one_against_many,37,False,
angel,37,False,
son,37,False,
puppet,37,False,
dracula,37,False,
us_army,37,True,war_security_intel
voodoo,37,False,
urban_legend,37,False,
race_against_time,36,False,
culture_clash,36,False,
marvel_cinematic_universe_(mcu),36,False,
crime_boss,36,False,
single_parent,36,False,
drowning,36,False,
elves,36,False,
billionaire,36,True,inequality_corruption_elites
diary,36,False,
stranded,36,False,
spin_off,36,False,
rock_band,36,False,
wish,36,False,
laboratory,36,False,
taxi,36,False,
god,36,False,
chainsaw,36,False,
murderer,36,False,
seattle,36,False,
bridge,36,False,
prom,36,False,
courtroom_drama,36,False,
turkey,36,False,
duel,36,False,
tourist,36,False,
couple,36,False,
christian_film,36,False,
reincarnation,36,False,
shounen,36,False,
thanksgiving,36,False,
black_people,36,False,
diamond,36,False,
