year,n_ranked_matched,n_top20_matched,n_21_100_matched,mean_domestic_top20,mean_domestic_21_100,median_domestic_top20,median_domestic_21_100,mean_polkw_top20,mean_polkw_21_100,gap_polkw,mean_polshare_top20,mean_polshare_21_100,gap_polshare,mean_totalkw_top20,mean_totalkw_21_100,gap_totalkw,share_any_top20,share_any_21_100
1985,87,20,67,81449730.25,17697291.835820895,57844490.0,14972297.0,1.7,0.6865671641791045,1.0134328358208955,0.13416333966536806,0.0731346187404448,0.06102872092492326,15.05,8.552238805970148,6.497761194029852,0.65,0.34328358208955223
1986,88,20,68,79772580.3,18115438.338235293,66426964.5,14392192.5,1.25,0.6323529411764706,0.6176470588235294,0.10075909961685822,0.054437731376922385,0.04632136823993584,12.4,10.852941176470589,1.5470588235294116,0.45,0.36764705882352944
1987,88,19,69,73933594.36842105,22820946.492753625,63462345.0,20240502.0,1.6842105263157894,0.9565217391304348,0.7276887871853546,0.12195295131786903,0.10107314138138623,0.020879809936482793,14.105263157894736,9.971014492753623,4.134248665141113,0.5789473684210527,0.4057971014492754
1988,93,20,73,87276926.0,20160017.493150685,68744718.5,17514553.0,0.7,0.6986301369863014,0.001369863013698569,0.04786516480595428,0.08231221159792587,-0.034447046791971594,13.35,8.684931506849315,4.6650684931506845,0.25,0.3972602739726027
1989,86,20,66,119196975.85,23619666.181818184,96435752.0,18629226.0,0.75,0.6818181818181818,0.06818181818181823,0.0688515406162465,0.08295198049978791,-0.014100439883541413,12.7,9.590909090909092,3.1090909090909076,0.35,0.30303030303030304
1990,89,19,70,116711438.94736843,24808995.87142857,91457688.0,21437051.5,1.263157894736842,0.6285714285714286,0.6345864661654135,0.08389077898365824,0.08840994165388628,-0.004519162670228047,16.31578947368421,8.8,7.515789473684208,0.5263157894736842,0.38571428571428573
1991,93,19,74,108222357.31578948,25661088.972972974,86930411.0,22707752.0,1.0526315789473684,0.4594594594594595,0.5931721194879089,0.06468443836864889,0.05876713564213565,0.005917302726513238,12.947368421052632,8.135135135135135,4.812233285917497,0.5263157894736842,0.2972972972972973
1992,91,20,71,123379433.55,27388488.633802816,104346300.5,21706101.0,1.6,0.5352112676056338,1.0647887323943663,0.10521145521145518,0.07977351273665072,0.025437942474804465,13.2,7.71830985915493,5.481690140845069,0.6,0.352112676056338
1993,92,20,72,140974575.55,28888733.541666668,80873918.0,25469619.5,1.25,0.4305555555555556,0.8194444444444444,0.12840714840714842,0.037897532309293255,0.09050961609785517,13.15,9.48611111111111,3.6638888888888896,0.6,0.20833333333333334
1994,94,19,75,149505728.0526316,27595607.386666667,107968758.0,21355893.0,1.631578947368421,0.5466666666666666,1.0849122807017544,0.09157742841953369,0.06355693715607508,0.02802049126345861,15.0,8.906666666666666,6.093333333333334,0.5263157894736842,0.29333333333333333
1995,93,19,74,112814636.05263157,35129253.10810811,100012499.0,30582614.0,0.8421052631578947,0.7432432432432432,0.09886201991465149,0.04971274339695392,0.06466154810717725,-0.014948804710223335,14.31578947368421,10.256756756756756,4.0590327169274545,0.3157894736842105,0.3918918918918919
