year,match_rate,note
1985,0.87,
1986,0.88,
1987,0.88,
1988,0.93,
1989,0.86,
1990,0.89,
1991,0.93,
1992,0.91,
1993,0.92,
1994,0.94,
1995,0.93,
1996,0.97,
1997,0.94,
1998,0.9,
1999,0.94,
2000,0.95,
2001,0.94,
2002,0.96,
2003,0.95,
2004,0.93,
2005,0.99,
2006,0.96,
2007,0.97,
2008,0.99,
2009,0.93,
2010,0.9,
2011,0.95,
2012,0.86,
2013,0.97,
2014,0.92,
2015,0.87,
2016,0.91,
2017,0.89,
2018,0.9,
2019,0.9,
2020,0.61,
2021,0.75,
2022,0.82,
2023,0.58,
