keyword,count,cum_count,cum_share
single,70,1718732,0.8227676494185635
alternate_history,70,1718802,0.8228011588519477
ambush,70,1718872,0.8228346682853319
wild_animal,70,1718942,0.8228681777187161
poor,70,1719012,0.8229016871521003
call_girl,70,1719082,0.8229351965854845
vegan,70,1719152,0.8229687060188687
utopia,70,1719222,0.8230022154522529
satanic_ritual,70,1719292,0.8230357248856371
toxic_relationship,70,1719362,0.8230692343190213
telephone,70,1719432,0.8231027437524056
sexual_desire,70,1719502,0.8231362531857898
motherly_love,70,1719572,0.823169762619174
part_animation,70,1719642,0.823203272052558
fox,70,1719712,0.8232367814859423
taboo,70,1719782,0.8232702909193265
mount_everest,70,1719852,0.8233038003527107
20th_century,70,1719922,0.8233373097860949
film_production,70,1719992,0.8233708192194791
crisis,70,1720062,0.8234043286528633
engagement,70,1720132,0.8234378380862475
john_f._kennedy,70,1720202,0.8234713475196317
writer's_block,70,1720272,0.8235048569530159
naples,70,1720342,0.8235383663864001
unfaithful_girlfriend,70,1720412,0.8235718758197843
abstract_art,70,1720482,0.8236053852531685
indie_rock,70,1720552,0.8236388946865527
caucasian_men,70,1720622,0.8236724041199369
space_station,69,1720691,0.82370543484713
space_adventure,69,1720760,0.823738465574323
fireworks,69,1720829,0.8237714963015159
video_surveillance,69,1720898,0.823804527028709
surgery,69,1720967,0.823837557755902
fortune_teller,69,1721036,0.823870588483095
janitor,69,1721105,0.823903619210288
budapest,69,1721174,0.823936649937481
rifle,69,1721243,0.823969680664674
death_penalty,69,1721312,0.824002711391867
ex-lover,69,1721381,0.8240357421190599
clone,69,1721450,0.824068772846253
family_holiday,69,1721519,0.824101803573446
newspaper_reporter,69,1721588,0.8241348343006389
deaf-mute,69,1721657,0.824167865027832
bulgaria,69,1721726,0.824200895755025
dictator,69,1721795,0.8242339264822179
political_assassination,69,1721864,0.824266957209411
hometown,69,1721933,0.824299987936604
kenya,69,1722002,0.8243330186637969
reflective,69,1722071,0.82436604939099
man,69,1722140,0.824399080118183
robber,69,1722209,0.8244321108453759
holiday_special,69,1722278,0.824465141572569
william_shakespeare,69,1722347,0.824498172299762
spanish_history,69,1722416,0.824531203026955
sculptor,69,1722485,0.824564233754148
guitar_player,69,1722554,0.824597264481341
musical_comedy,69,1722623,0.824630295208534
painter_as_artist,69,1722692,0.824663325935727
youtuber,69,1722761,0.82469635666292
stranded_in_orbit,69,1722830,0.824729387390113
outdoor,69,1722899,0.824762418117306
sertanejo,69,1722968,0.824795448844499
race_against_time,68,1723036,0.8248280008655008
grave,68,1723104,0.8248605528865026
captain,68,1723172,0.8248931049075043
genie,68,1723240,0.8249256569285062
stabbing,68,1723308,0.824958208949508
prague,68,1723376,0.8249907609705098
show_business,68,1723444,0.8250233129915115
vatican,68,1723512,0.8250558650125134
transvestism,68,1723580,0.8250884170335152
north_carolina,68,1723648,0.8251209690545169
autobiographical,68,1723716,0.8251535210755188
interactive,68,1723784,0.8251860730965206
consumerism,68,1723852,0.8252186251175224
extortion,68,1723920,0.8252511771385241
duck,68,1723988,0.825283729159526
dublin,68,1724056,0.8253162811805278
ai,68,1724124,0.8253488332015295
bosnian_war_(1992-95),68,1724192,0.8253813852225313
cartoon_duck,68,1724260,0.8254139372435332
environmental_issues,68,1724328,0.825446489264535
sasquatch,68,1724396,0.8254790412855367
waiter,68,1724464,0.8255115933065386
australian_aboriginal,68,1724532,0.8255441453275404
family_tragedy,68,1724600,0.8255766973485421
british_columbia,68,1724668,0.8256092493695439
puppets,68,1724736,0.8256418013905458
armenia,68,1724804,0.8256743534115475
uruguay,68,1724872,0.8257069054325493
outdoors,68,1724940,0.8257394574535512
diy,68,1725008,0.825772009474553
classical_concert,68,1725076,0.8258045614955547
british,68,1725144,0.8258371135165565
self_sacrifice,67,1725211,0.8258691868313671
burglar,67,1725278,0.8259012601461777
jew_persecution,67,1725345,0.8259333334609883
exotic_island,67,1725412,0.8259654067757989
housekeeper,67,1725479,0.8259974800906095
snowstorm,67,1725546,0.8260295534054201
psychotronic_film,67,1725613,0.8260616267202306
atlanta,67,1725680,0.8260937000350413
parenting,67,1725747,0.8261257733498519
nuclear_war,67,1725814,0.8261578466646625
social_worker,67,1725881,0.8261899199794731
shocking,67,1725948,0.8262219932942837
banker,67,1726015,0.8262540666090943
opera_singer,67,1726082,0.8262861399239049
ex-husband_ex-wife_relationship,67,1726149,0.8263182132387155
gossip,67,1726216,0.826350286553526
dirty_cop,67,1726283,0.8263823598683366
innocence,67,1726350,0.8264144331831472
held_captive,67,1726417,0.8264465064979578
busan,67,1726484,0.8264785798127684
near_future,67,1726551,0.826510653127579
punishment,67,1726618,0.8265427264423896
sexual_obsession,67,1726685,0.8265747997572003
mental_hospital,67,1726752,0.8266068730720109
kansas,67,1726819,0.8266389463868214
alternative,67,1726886,0.826671019701632
psychiatry,67,1726953,0.8267030930164426
christmas_eve,67,1727020,0.8267351663312532
menage_a_trois,67,1727087,0.8267672396460638
prison_break,67,1727154,0.8267993129608744
montana,67,1727221,0.826831386275685
wisconsin,67,1727288,0.8268634595904956
britain,67,1727355,0.8268955329053062
gender_identity,67,1727422,0.8269276062201167
actress,67,1727489,0.8269596795349273
nightclub_singer,67,1727556,0.8269917528497379
pubic_hair,67,1727623,0.8270238261645485
zombies,67,1727690,0.8270558994793591
female_domination,67,1727757,0.8270879727941698
eurospy,67,1727824,0.8271200461089804
pop_rock,67,1727891,0.827152119423791
adult_video,67,1727958,0.8271841927386016
skateboard_video,67,1728025,0.8272162660534121
ethnic,67,1728092,0.8272483393682227
natural_body_hair,67,1728159,0.8272804126830333
truth,66,1728225,0.8273120072916527
honor,66,1728291,0.8273436019002721
