year,n_top20,n_21_100,mean_polkw_top20,mean_polkw_21_100,gap_polkw,mean_polshare_top20,mean_polshare_21_100,gap_polshare,mean_totalkw_top20,mean_totalkw_21_100,gap_totalkw,share_any_top20,share_any_21_100,mean_domestic_top20,mean_domestic_21_100,median_domestic_top20,median_domestic_21_100,coverage_kw_top20,coverage_kw_21_100
1990,17,0,1.2941176470588236,,,0.09545172820259325,,,14.588235294117647,,,0.5882352941176471,,103679896.35294117,,103738726.0,,1.0,
1991,20,21,0.65,0.38095238095238093,0.2690476190476191,0.05182900432900432,0.05743650793650793,-0.00560750360750361,13.4,6.380952380952381,7.019047619047619,0.45,0.3333333333333333,90671735.9,9669442.57142857,74062215.0,8479793.0,1.0,0.9523809523809523
1992,18,6,1.3888888888888888,0.3333333333333333,1.0555555555555556,0.08802655677655677,0.037037037037037035,0.050989519739519734,12.277777777777779,11.166666666666666,1.1111111111111125,0.5,0.16666666666666666,90714789.83333333,4115246.5,79014323.0,3445296.5,1.0,1.0
1993,20,7,0.65,1.8571428571428572,-1.2071428571428573,0.05723776223776224,0.12980192076830732,-0.07256415853054508,11.35,12.428571428571429,-1.0785714285714292,0.35,0.7142857142857143,75628441.85,3383461.1428571427,45235707.0,2502551.0,1.0,1.0
1994,19,29,1.631578947368421,0.6206896551724138,1.010889292196007,0.07736444841708001,0.06576003586552588,0.01160441255155413,16.94736842105263,9.724137931034482,7.223230490018148,0.47368421052631576,0.3448275862068966,121497140.36842105,15279928.344827587,107928762.0,15119639.0,1.0,0.9655172413793104
1995,20,14,1.1,0.8571428571428571,0.242857142857143,0.061458748810529,0.06837606837606837,-0.0069173195655393704,13.35,10.785714285714286,2.564285714285713,0.45,0.2857142857142857,58307367.6,6244080.071428572,44182780.5,6473810.5,1.0,0.9285714285714286
1996,20,18,1.75,0.7777777777777778,0.9722222222222222,0.10244669438748386,0.07759539842873177,0.024851295958752087,13.6,9.555555555555555,4.044444444444444,0.65,0.4444444444444444,99567087.05,11780646.833333334,70897405.5,7900357.5,1.0,1.0
1997,20,39,1.9,1.0,0.8999999999999999,0.09352945968221109,0.10013577986976156,-0.006606320187550474,17.7,10.58974358974359,7.11025641025641,0.45,0.5384615384615384,136657344.65,24828026.384615384,101240437.0,25480490.0,1.0,0.9743589743589743
1998,19,47,1.4736842105263157,0.8297872340425532,0.6438969764837625,0.08341044919992287,0.07171099149591285,0.011699457704010013,12.894736842105264,9.808510638297872,3.086226203807392,0.42105263157894735,0.3829787234042553,127284038.36842105,25611065.127659574,115821495.0,21485655.0,1.0,1.0
1999,20,80,1.4,0.625,0.7749999999999999,0.07202114302086493,0.0601860239055603,0.011835119115304632,16.8,10.975,5.825000000000001,0.6,0.3375,168342116.55,41332668.6125,140287233.0,34103993.5,1.0,0.975
2000,20,78,1.15,0.6538461538461539,0.49615384615384606,0.09221139971139972,0.0680633006594545,0.024148099051945218,13.2,10.705128205128204,2.494871794871795,0.5,0.34615384615384615,154923732.3,43998778.64102564,146606207.0,37109184.0,1.0,1.0
2001,19,78,0.7894736842105263,0.8205128205128205,-0.031039136302294157,0.05168445909035774,0.08651383819320108,-0.03482937910284334,14.789473684210526,10.807692307692308,3.9817813765182173,0.42105263157894735,0.41025641025641024,176014292.15789473,42617444.461538464,170742341.0,36775632.5,1.0,0.9743589743589743
2002,20,77,1.35,1.12987012987013,0.22012987012987018,0.08892427017427017,0.09357244790067284,-0.0046481777264026775,14.75,12.376623376623376,2.3733766233766236,0.65,0.5194805194805194,198346683.65,51353695.51948052,167651434.5,41281092.0,1.0,1.0
2003,19,78,1.263157894736842,0.8333333333333334,0.42982456140350866,0.05139906977475035,0.08159258199352673,-0.030193512218776378,18.57894736842105,11.807692307692308,6.771255060728743,0.47368421052631576,0.44871794871794873,181187832.42105263,51283982.23076923,138608444.0,46155897.5,1.0,0.9743589743589743
2004,19,76,0.8947368421052632,0.7368421052631579,0.1578947368421053,0.05088678091774067,0.06710147462385314,-0.016214693706112476,17.36842105263158,12.013157894736842,5.355263157894736,0.42105263157894735,0.4473684210526316,203009833.63157895,51776778.84210526,173008894.0,51235134.0,1.0,0.9736842105263158
2005,20,78,0.9,0.7692307692307693,0.13076923076923075,0.05667153959992834,0.0515169557411526,0.005154583858775742,13.35,13.102564102564102,0.24743589743589745,0.6,0.3717948717948718,180101663.4,42353172.76923077,168807507.5,36970171.5,1.0,0.9871794871794872
2006,19,79,1.0,0.6455696202531646,0.35443037974683544,0.055074543619435264,0.05141984546902384,0.0036546981504114243,14.31578947368421,11.708860759493671,2.6069287141905395,0.3157894736842105,0.3291139240506329,170294424.68421054,43278106.24050633,148213377.0,39517763.0,1.0,0.9873417721518988
2007,20,68,1.05,0.6764705882352942,0.3735294117647059,0.05225174607527548,0.04959323834757945,0.002658507727696033,17.55,11.411764705882353,6.1382352941176475,0.45,0.3382352941176471,199800462.85,32604413.5,165951965.5,20317561.5,1.0,0.9558823529411765
2008,20,79,0.8,0.9620253164556962,-0.16202531645569618,0.04958205184611718,0.08073680139753737,-0.031154749551420197,14.95,11.164556962025317,3.785443037974682,0.4,0.4430379746835443,196749911.25,52346909.60759494,153588348.5,42754105.0,1.0,1.0
2009,20,78,0.7,0.6282051282051282,0.07179487179487176,0.05156135531135532,0.052555128909618075,-0.0009937735982627552,12.1,10.012820512820513,2.087179487179487,0.3,0.2692307692307692,247349037.1,49966409.41025641,203690102.5,39021039.0,1.0,0.9743589743589743
